season,athlete_id,player,team,position,games_played,games_started,minutes_total,mpg,pts_total,ppg,pts_per_40,fgm_total,fga_total,fg_pct,fg3m_total,fg3a_total,fg3_pct,threepar,ftm_total,fta_total,ft_pct,fta_rate,reb_total,rpg,reb_per_40,oreb_total,oreb_pg,oreb_per_40,dreb_total,dreb_pg,dreb_per_40,ast_total,apg,ast_per_40,stl_total,spg,stl_per_40,blk_total,bpg,blk_per_40,tov_total,tovpg,tov_per_40,efg_pct,ts_pct,usage,ast_pct,tov_pct,oreb_pct,dreb_pct,usage_pctile_pos,ts_pctile_pos,efg_pctile_pos,ast_pctile_pos,tov_pctile_pos,oreb_pctile_pos,dreb_pctile_pos,fg3_pctile_pos,ft_pctile_pos,threepar_pctile_pos,fta_rate_pctile_pos
2026,9350300,Skylar Thomas,Grinnell,F,24,24,631.6,26.317,191,7.958,12.096,60,186,0.323,17,63,0.27,0.339,54,79,0.684,0.425,128,5.333,8.106,12,0.5,0.76,116,4.833,7.346,40,1.667,2.533,27,1.125,1.71,4,0.167,0.253,59,2.458,3.737,0.368,0.433,0.223,0.162,0.211,0.023,0.223,0.579,0.283,0.166,0.926,0.673,0.116,0.734,0.665,0.418,0.922,0.698
2026,9350301,Kelsey Ericksen,Grinnell,F,24,24,442.217,18.426,139,5.792,12.573,43,129,0.333,33,105,0.314,0.814,20,28,0.714,0.217,42,1.75,3.799,4,0.167,0.362,38,1.583,3.437,21,0.875,1.9,15,0.625,1.357,2,0.083,0.181,23,0.958,2.08,0.461,0.492,0.187,0.122,0.14,0.011,0.105,0.24,0.487,0.593,0.622,0.258,0.034,0.062,0.801,0.495,0.999,0.217
2026,9350302,Carolyn Pierce,Grinnell,G,24,0,393.417,16.392,99,4.125,10.066,32,110,0.291,21,74,0.284,0.673,14,23,0.609,0.209,30,1.25,3.05,8,0.333,0.813,22,0.917,2.237,24,1,2.44,8,0.333,0.813,3,0.125,0.305,21,0.875,2.135,0.386,0.412,0.18,0.15,0.149,0.025,0.068,0.296,0.274,0.305,0.526,0.113,0.291,0.08,0.487,0.187,0.922,0.272
2026,9350303,Bailey Strovers,Grinnell,C,13,0,199.083,15.314,69,5.308,13.864,21,78,0.269,7,46,0.152,0.59,20,31,0.645,0.397,69,5.308,13.864,17,1.308,3.416,52,4,10.448,5,0.385,1.005,11,0.846,2.21,4,0.308,0.804,27,2.077,5.425,0.314,0.376,0.299,0.066,0.228,0.103,0.318,0.988,0.843,0.842,0.774,0.833,0.838,1,0.807,0.685,1,0.992
2026,9350304,Reese Stephens,Grinnell,G,24,0,274.95,11.456,14,0.583,2.037,5,22,0.227,2,9,0.222,0.409,2,8,0.25,0.364,43,1.792,6.256,7,0.292,1.018,36,1.5,5.237,25,1.042,3.637,15,0.625,2.182,0,0,0,24,1,3.492,0.273,0.274,0.091,0.194,0.485,0.031,0.159,0.005,0.011,0.024,0.773,0.987,0.389,0.856,0.217,0.007,0.55,0.726
2026,9350305,Eleanor Cordes,Grinnell,G,10,1,57.85,5.785,11,1.1,7.606,3,14,0.214,0,7,0,0.5,5,6,0.833,0.429,1,0.1,0.691,0,0,0,1,0.1,0.691,5,0.5,3.457,1,0.1,0.691,0,0,0,5,0.5,3.457,0.214,0.331,0.188,0.199,0.231,0,0.021,0.395,0.039,0.01,0.775,0.593,0.002,0.003,0.003,0.888,0.653,0.802
2026,9350306,Cassidy Pak,Grinnell,NA,19,0,258.433,13.602,91,4.789,14.085,25,100,0.25,4,27,0.148,0.27,37,57,0.649,0.57,38,2,5.882,10,0.526,1.548,28,1.474,4.334,24,1.263,3.715,16,0.842,2.476,2,0.105,0.31,37,1.947,5.727,0.27,0.364,0.315,0.238,0.228,0.047,0.132,1,0.157,0.143,1,0.812,0.791,0.861,0.087,0.537,0.216,0.923
2026,9350307,Amelia Rigel,Grinnell,NA,22,0,218.3,9.923,77,3.5,14.109,26,82,0.317,13,43,0.302,0.524,12,26,0.462,0.317,37,1.682,6.78,14,0.636,2.565,23,1.045,4.214,7,0.318,1.283,6,0.273,1.099,0,0,0,24,1.091,4.398,0.396,0.412,0.27,0.087,0.204,0.078,0.128,0.838,0.273,0.26,0.373,0.651,1,0.748,0.22,0.131,0.697,0.416
2026,9350459,Jayln Patterson,Illinois Col.,F,25,25,626.3,25.052,363,14.52,23.184,141,313,0.45,17,66,0.258,0.211,64,91,0.703,0.291,173,6.92,11.049,71,2.84,4.535,102,4.08,6.514,34,1.36,2.171,30,1.2,1.916,36,1.44,2.299,51,2.04,3.257,0.478,0.514,0.282,0.128,0.126,0.128,0.178,0.866,0.656,0.679,0.696,0.128,0.839,0.428,0.509,0.47,0.717,0.376
2026,9350460,De'Jah Yankaway,Illinois Col.,F,25,0,228.9,9.156,68,2.72,11.883,26,76,0.342,0,3,0,0.039,16,45,0.356,0.592,69,2.76,12.058,28,1.12,4.893,41,1.64,7.165,13,0.52,2.272,17,0.68,2.971,9,0.36,1.573,39,1.56,6.815,0.342,0.355,0.258,0.106,0.289,0.139,0.196,0.755,0.042,0.073,0.51,0.96,0.854,0.576,0.013,0.032,0.361,0.966
